eventCode,matchLevel,matchNumber,match_key,robot,teamNumber,autoStartingLocation,taxi,autoUpper,autoLower,autoPickedUpCargo,upper,lower,wasDefended,wallbot,pickupLoc,shootingLocations,climb,climbBeforeEndgame,defenseRating,heldCargo,speedRating,diedOrTipped,comments,autoCargo,autoScore,teleopCargo,teleopScore,totalCargo,taxiScore,autoUpperScore,autoLowerScore,upperScore,lowerScore,climbScore,endgameScore,totalScore,climbLevel,wasDefendedMetric,diedMetric,heldCargoMetric
2022ilch,qm,5,2022ilch_qm5,b3,2338,54,Y,2,0,N,14,0,N,N,b,"[43,29,53,29,29,30,39,42,54]",4,N,a,N,3,N,Great cargo shooter,2,8,14,28,16,2,8,0,28,0,15,15,53,4,0,0,0
2022ilch,qm,5,2022ilch_qm5,b2,3352,42,Y,0,1,N,1,0,N,N,g,[22],x,N,x,N,3,N,"Intake broke, didnt play defense ",1,2,1,2,2,2,0,2,2,0,0,0,6,0,0,0,0
2022ilch,qm,5,2022ilch_qm5,r1,4145,44,Y,1,0,N,3,0,N,N,g,"[43,43,53,46]",a,Y,x,N,4,N,fell off high rung bc got bumped into,1,4,3,6,4,2,4,0,6,0,0,0,12,0,0,0,0
2022ilch,qm,5,2022ilch_qm5,r2,5822,31,Y,0,0,N,0,7,N,N,g,"[31,31,31,31,19,19,31,31,31]",x,N,x,N,2,Y,Died during climbing,0,0,7,7,7,2,0,0,0,7,0,0,9,0,0,1,0
2022ilch,qm,5,2022ilch_qm5,r3,48,42,Y,4,0,Y,5,0,Y,N,g,"[21,28,38,52]",2,N,a,N,3,N,Fast. Good auto. Pretty fast ,4,16,5,10,9,2,16,0,10,0,6,6,34,2,1,0,0
2022ilch,qm,6,2022ilch_qm6,r1,8122,54,Y,1,0,N,4,1,N,N,g,"[54,5,20,15,29,17,17,29,19]",2,N,x,N,2,N,,1,4,5,9,6,2,4,0,8,1,6,6,21,2,0,0,0
2022ilch,qm,6,2022ilch_qm6,b1,3067,29,Y,0,0,N,0,6,N,Y,g,"[31,31,31]",2,N,x,N,1,N,No limelight,0,0,6,6,6,2,0,0,0,6,6,6,14,2,0,0,0
2022ilch,qm,6,2022ilch_qm6,b3,5934,55,Y,0,1,Y,0,5,Y,N,b,"[30,30,44,30]",a,Y,a,Y,3,N,Seems to have a good climber ,1,2,5,5,6,2,0,2,0,5,0,0,9,0,1,0,1
2022ilch,qm,6,2022ilch_qm6,r2,8096,29,Y,2,0,Y,0,0,N,Y,g,[19],2,N,g,N,3,N,"Good defense, tried to shoot but failed",2,8,0,0,2,2,8,0,0,0,6,6,16,2,0,0,0
2022ilch,qm,6,2022ilch_qm6,r3,2358,29,Y,1,0,N,2,0,Y,Y,g,"[30,30,28,17]",4,N,a,N,3,N,Super fast traversal climb,1,4,2,4,3,2,4,0,4,0,15,15,25,4,1,0,0
2022ilch,qm,6,2022ilch_qm6,b2,5125,30,Y,0,2,Y,0,4,Y,Y,x,"[30,30,29,30,54,54,43]",2,N,x,N,4,N,,2,4,4,4,6,2,0,4,0,4,6,6,16,2,1,0,0
2022ilch,qm,7,2022ilch_qm7,b1,1739,30,Y,0,1,N,0,6,N,Y,g,[30],2,N,x,N,3,N,,1,2,6,6,7,2,0,2,0,6,6,6,16,2,0,0,0
2022ilch,qm,7,2022ilch_qm7,r1,2151,41,Y,0,0,N,0,0,N,N,g,,x,N,x,N,1,Y,,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0
2022ilch,qm,7,2022ilch_qm7,b2,4292,42,Y,0,0,N,0,0,N,N,x,,x,N,g,N,4,Y,Was a good def bot; drivetrain died,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0
2022ilch,qm,7,2022ilch_qm7,r2,1625,19,Y,0,0,Y,4,0,N,N,g,"[45,45,20,6,6,28]",3,Y,x,N,4,N,Had 10 sec left in climb,0,0,4,8,4,2,0,0,8,0,10,10,20,3,0,0,0
2022ilch,qm,7,2022ilch_qm7,r3,677,30,Y,1,0,Y,0,1,Y,N,g,"[20,33,32,22]",x,N,a,N,3,N,Meh,1,4,1,1,2,2,4,0,0,1,0,0,7,0,1,0,0
2022ilch,qm,7,2022ilch_qm7,b3,4702,17,Y,0,0,N,0,0,N,N,g,[17],2,Y,b,Y,1,N,Shooter seems to be non functional ,0,0,0,0,0,2,0,0,0,0,6,6,8,2,0,0,1
2022ilch,qm,8,2022ilch_qm8,b1,1732,54,Y,2,0,Y,16,0,Y,N,b,,x,N,x,N,5,N,,2,8,16,32,18,2,8,0,32,0,0,0,42,0,1,0,0
2022ilch,qm,8,2022ilch_qm8,r1,3110,41,Y,0,0,N,0,0,N,N,x,,x,N,b,N,1,Y,,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0
2022ilch,qm,8,2022ilch_qm8,b2,4787,30,Y,0,1,N,0,0,N,N,g,,a,N,g,N,3,N,,1,2,0,0,1,2,0,2,0,0,0,0,4,0,0,0,0
2022ilch,qm,8,2022ilch_qm8,r2,4096,19,N,0,0,N,0,0,N,N,g,"[21,21,16,16]",a,N,a,N,4,N,"Shooter didn't work, auto didn't either",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022ilch,qm,8,2022ilch_qm8,b3,3061,54,Y,0,0,N,8,0,N,N,g,"[45,56,44,33,46,44,45]",3,N,g,N,5,N,Good shooter and great speed,0,0,8,16,8,2,0,0,16,0,10,10,28,3,0,0,0
2022ilch,qm,8,2022ilch_qm8,r3,7560,17,N,0,1,N,0,0,N,N,x,[29],x,N,x,N,3,N,Robot died in auto. Didnt move entire match,1,2,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0
2022ilch,qm,9,2022ilch_qm9,b2,2022,54,N,0,0,N,0,0,N,N,x,,x,N,x,N,1,Y,Dead from start  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022ilch,qm,9,2022ilch_qm9,b1,101,29,Y,0,0,N,0,0,N,N,x,,x,N,b,N,5,N,,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2022ilch,qm,9,2022ilch_qm9,r1,5847,41,Y,0,0,N,6,0,N,N,g,"[53,15,6,6,53]",a,N,x,N,2,N,,0,0,6,12,6,2,0,0,12,0,0,0,14,0,0,0,0
2022ilch,qm,9,2022ilch_qm9,r2,7460,44,Y,1,0,N,5,0,N,N,g,"[45,45,66,66,40,40,45,45]",4,Y,x,N,2,N,Pink suit :),1,4,5,10,6,2,4,0,10,0,15,15,31,4,0,0,0
2022ilch,qm,9,2022ilch_qm9,r3,6381,42,Y,2,0,Y,5,0,N,N,g,"[44,19,29,41]",2,N,a,N,3,N,,2,8,5,10,7,2,8,0,10,0,6,6,26,2,0,0,0
2022ilch,qm,9,2022ilch_qm9,b3,8868,17,Y,0,0,N,0,0,N,N,x,"[30,29,28]",x,N,b,N,2,N,,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2022ilch,qm,10,2022ilch_qm10,b1,2451,54,Y,3,0,Y,4,0,Y,N,b,,x,N,x,N,4,N,,3,12,4,8,7,2,12,0,8,0,0,0,22,0,1,0,0
2022ilch,qm,10,2022ilch_qm10,b2,4241,41,Y,1,0,Y,1,0,N,N,g,,3,N,x,N,3,N,,1,4,1,2,2,2,4,0,2,0,10,10,18,3,0,0,0
2022ilch,qm,10,2022ilch_qm10,r2,5553,31,Y,1,0,N,1,0,Y,N,g,"[23,23]",2,N,x,N,2,N,,1,4,1,2,2,2,4,0,2,0,6,6,14,2,1,0,0
2022ilch,qm,10,2022ilch_qm10,r1,2062,18,Y,1,0,N,0,0,N,N,x,,x,N,g,N,4,N,,1,4,0,0,1,2,4,0,0,0,0,0,6,0,0,0,0
2022ilch,qm,10,2022ilch_qm10,b3,2830,18,Y,2,0,N,3,0,Y,N,x,"[17,29,44]",x,N,a,N,3,N,,2,8,3,6,5,2,8,0,6,0,0,0,16,0,1,0,0
2022ilch,qm,10,2022ilch_qm10,r3,6651,54,N,0,0,N,0,0,N,Y,g,,2,N,a,N,2,N,Didnt shoot. Wandered around field,0,0,0,0,0,0,0,0,0,0,6,6,6,2,0,0,0
2022ilch,qm,11,2022ilch_qm11,r2,8029,32,Y,0,0,N,0,1,N,N,x,"[34,34]",x,N,x,N,3,Y,Lost power.,0,0,1,1,1,2,0,0,0,1,0,0,3,0,0,1,0
2022ilch,qm,11,2022ilch_qm11,b2,8122,30,Y,1,0,N,4,2,N,N,x,,2,N,x,N,4,N,,1,4,6,10,7,2,4,0,8,2,6,6,22,2,0,0,0
2022ilch,qm,11,2022ilch_qm11,b3,8880,41,Y,1,0,N,2,1,N,N,b,"[52,65,53,52,53,39]",2,N,a,N,3,N,,1,4,3,5,4,2,4,0,4,1,6,6,17,2,0,0,0
2022ilch,qm,11,2022ilch_qm11,r1,5822,42,N,0,1,N,0,8,N,Y,g,"[42,42,42,42,42]",4,Y,b,N,2,N,,1,2,8,8,9,0,0,2,0,8,15,15,25,4,0,0,0
2022ilch,qm,11,2022ilch_qm11,r3,3695,18,Y,0,0,Y,4,1,N,N,g,"[20,29,6,6,28]",3,N,x,N,2,N,,0,0,5,9,5,2,0,0,8,1,10,10,21,3,0,0,0
2022ilch,qm,12,2022ilch_qm12,r2,5934,44,Y,0,2,Y,0,3,Y,N,g,"[44,44,29,29]",3,Y,x,N,3,N,Climbed at 50 sec,2,4,3,3,5,2,0,4,0,3,10,10,19,3,1,0,0
2022ilch,qm,12,2022ilch_qm12,r1,4292,29,Y,0,0,N,0,1,N,N,g,[30],x,N,b,N,2,N,,0,0,1,1,1,2,0,0,0,1,0,0,3,0,0,0,0
2022ilch,qm,12,2022ilch_qm12,b3,8802,17,Y,0,0,N,0,0,Y,N,x,,2,N,e,Y,5,N,"Only defends, does not shoot ",0,0,0,0,0,2,0,0,0,0,6,6,8,2,1,0,1
