id,match_id,robot_id,created_at,created_by,updated_at,updated_by,available,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14
64,Q21,2333,2023-04-07 16:51:02.471067,A,2023-04-07 16:51:02.471067,A,True,,,,,,,1,,,,['2'],['3'],2,,,,,4.0,,,,,,,1,,,,['2'],['3'],2,,,,,4.0
65,Q20,3507,2023-04-07 16:51:06.308222,A,2023-04-07 16:51:06.308222,A,True,,,,,,,,,,,[],,,,,,0,0.0,,,,,,,,,,,[],,,,,,0,0.0
66,Q21,2333,2023-04-07 16:51:12.413563,Ely,2023-04-07 16:51:12.413563,Ely,True,1,,,1.0,['3'],['2'],1,,1.0,,"['2', '1']",['3'],1,0,0,,0,2.0,1,,,1.0,['3'],['2'],1,,1.0,,"['2', '1']",['3'],1,0,0,,0,2.0
67,Q21,3507,2023-04-07 16:51:46.095893,Ely,2023-04-07 16:51:46.095893,Ely,True,,,,,,,0,,,,,,,0,0,,1,,,,,,,,0,,,,,,,0,0,,1,
68,Q21,6424,2023-04-07 16:51:48.730580,Saris,2023-04-07 16:51:48.730580,Saris,True,2,,,,[],,1,1,5.0,,"['1', '2', '3']",['1'],0,0,0,,0,,2,,,,[],,1,1,5.0,,"['1', '2', '3']",['1'],0,0,0,,0,
69,Q22,3931,2023-04-07 16:57:52.030400,Ely,2023-04-07 16:57:52.030400,Ely,True,3,,,,,,,2,2.0,1.0,"['2', '1']",['2'],2,0,0,,0,,3,,,,,,,2,2.0,1.0,"['2', '1']",['2'],2,0,0,,0,
70,Q22,1209,2023-04-07 16:58:10.050528,Ely,2023-04-07 16:58:10.050528,Ely,True,2,1.0,,,['3'],,1,2,1.0,,"['2', '3']",,2,0,0,,0,1.0,2,1.0,,,['3'],,1,2,1.0,,"['2', '3']",,2,0,0,,0,1.0
71,Q24,4613,2023-04-07 18:10:10.382855,A,2023-04-07 18:10:10.382855,A,True,,1.0,,,['3'],['2'],1,,,1.0,,,2,0,0,,0,0.0,,1.0,,,['3'],['2'],1,,,1.0,,,2,0,0,,0,0.0
72,Q24,1561,2023-04-07 18:10:41.562862,Ely,2023-04-07 18:10:41.562862,Ely,True,2,,,,,,0,2,4.0,2.0,"['1', '2', '3']",['2'],2,1,1,6.0,0,1.0,2,,,,,,0,2,4.0,2.0,"['1', '2', '3']",['2'],2,1,1,6.0,0,1.0
73,Q24,2359,2023-04-07 18:11:56.821242,Ely,2023-04-07 18:11:56.821242,Ely,True,2,,,1.0,['2'],,0,1,3.0,,"['3', '1']",['1'],2,0,0,,0,,2,,,1.0,['2'],,0,1,3.0,,"['3', '1']",['1'],2,0,0,,0,
74,Q25,5006,2023-04-07 18:18:15.567353,Ely,2023-04-07 18:18:15.567353,Ely,True,2,,,1.0,['2'],,1,1,,,"['2', '3']",['3'],2,1,1,4.0,0,3.0,2,,,1.0,['2'],,1,1,,,"['2', '3']",['3'],2,1,1,4.0,0,3.0
75,Q25,1806,2023-04-07 18:19:06.959252,Ely,2023-04-07 18:19:06.959252,Ely,True,2,,,1.0,['2'],['1'],0,2,,1.0,"['3', '2']",['1'],2,0,0,,0,3.0,2,,,1.0,['2'],['1'],0,2,,1.0,"['3', '2']",['1'],2,0,0,,0,3.0
76,Q25,2341,2023-04-07 18:19:35.577384,Armando ,2023-04-07 18:19:35.577384,Armando ,True,1,,,,,,,,,1.0,,['1'],2,0,1,3.0,0,0.0,1,,,,,,,,,1.0,,['1'],2,0,1,3.0,0,0.0
77,Q25,1339,2023-04-07 18:19:39.475628,Armando,2023-04-07 18:19:39.475628,Armando,True,1,,,1.0,,,,,3.0,,"['1', '2']",['3'],2,0,0,,0,1.0,1,,,1.0,,,,,3.0,,"['1', '2']",['3'],2,0,0,,0,1.0
78,Q26,2165,2023-04-07 18:37:33.637703,Saris,2023-04-07 18:37:33.637703,Saris,True,2,,,1.0,['2'],['2'],1,1,,,"['1', '2', '3']",['3'],0,0,1,8.0,0,4.0,2,,,1.0,['2'],['2'],1,1,,,"['1', '2', '3']",['3'],0,0,1,8.0,0,4.0
79,Q26,7744,2023-04-07 18:37:52.873714,Armando,2023-04-07 18:37:52.873714,Armando,True,3,,,,,['1'],,,3.0,,['1'],['3'],2,0,0,,0,,3,,,,,['1'],,,3.0,,['1'],['3'],2,0,0,,0,
80,Q26,3507,2023-04-07 18:37:58.966476,Armando ,2023-04-07 18:37:58.966476,Armando ,True,3,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,1,
81,Q26,5550,2023-04-07 18:38:26.970395,Ely,2023-04-07 18:38:26.970395,Ely,True,2,,1.0,,['2'],,0,1,1.0,,"['1', '2']",['1'],2,0,0,,0,2.0,2,,1.0,,['2'],,0,1,1.0,,"['1', '2']",['1'],2,0,0,,0,2.0
